Documento 0
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 fruit 	 [23] 	 0.037037037037037035 	 1.0 	 0.037037037037037035
	 finish 	 [24] 	 0.037037037037037035 	 1.0 	 0.037037037037037035
	 fresh 	 [25] 	 0.037037037037037035 	 1.0 	 0.037037037037037035
	 grabby 	 [26] 	 0.037037037037037035 	 1.0 	 0.037037037037037035


Documento 6
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 heres 	 [0] 	 0.05 	 1.0 	 0.05
	 a 	 [1] 	 0.05 	 1.0 	 0.05
	 bright 	 [2] 	 0.05 	 1.0 	 0.05
	 informal 	 [3] 	 0.05 	 1.0 	 0.05
	 red 	 [4] 	 0.05 	 1.0 	 0.05
	 open 	 [5] 	 0.05 	 1.0 	 0.05
	 aromas 	 [6] 	 0.05 	 1.0 	 0.05
	 candied 	 [7] 	 0.05 	 1.0 	 0.05
	 berry 	 [8] 	 0.05 	 1.0 	 0.05
	 white 	 [9] 	 0.05 	 1.0 	 0.05
	 pepper 	 [10] 	 0.05 	 1.0 	 0.05
	 savory 	 [11] 	 0.05 	 1.0 	 0.05
	 herb 	 [12] 	 0.05 	 1.0 	 0.05
	 carry 	 [13] 	 0.05 	 1.0 	 0.05
	 palate 	 [14] 	 0.05 	 1.0 	 0.05
	 balance 	 [15] 	 0.05 	 1.0 	 0.05
	 fresh 	 [16] 	 0.05 	 1.0 	 0.05
	 acidity 	 [17] 	 0.05 	 1.0 	 0.05
	 soft 	 [18] 	 0.05 	 1.0 	 0.05
	 tannins 	 [19] 	 0.05 	 1.0 	 0.05


Documento 7
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 dry 	 [0] 	 0.08333333333333333 	 1.0 	 0.08333333333333333
	 restrain 	 [1] 	 0.08333333333333333 	 1.0 	 0.08333333333333333
	 wine 	 [2] 	 0.08333333333333333 	 1.0 	 0.08333333333333333
	 offer 	 [3] 	 0.08333333333333333 	 1.0 	 0.08333333333333333
	 spice 	 [4] 	 0.08333333333333333 	 1.0 	 0.08333333333333333
	 profusion 	 [5] 	 0.08333333333333333 	 1.0 	 0.08333333333333333
	 balance 	 [6] 	 0.08333333333333333 	 1.0 	 0.08333333333333333
	 acidity 	 [7] 	 0.08333333333333333 	 1.0 	 0.08333333333333333
	 a 	 [8] 	 0.08333333333333333 	 1.0 	 0.08333333333333333
	 firm 	 [9] 	 0.08333333333333333 	 1.0 	 0.08333333333333333
	 texture 	 [10] 	 0.08333333333333333 	 1.0 	 0.08333333333333333
	 food 	 [11] 	 0.08333333333333333 	 1.0 	 0.08333333333333333


Documento 8
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 savory 	 [0] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 dried 	 [1] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
	 thyme 	 [2] 	 0.058823529411764705 	 1.0 	 0.058823529411764705
