Documento 0
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 ink		[10]		1.0	1.30103	1.30103
	 recycled		[11]		1.0	1.30103	1.30103
	 paper		[12]		1.0	1.30103	1.30103
	 nice		[15]		1.0	1.30103	1.30103
	 part		[0]		1.0	1.0	1.0
	 quality		[13]		1.0	1.0	1.0
	 juicy		[17]		1.0	0.82391	0.82391
	 bright		[20]		1.0	0.82391	0.82391
	 berry		[21]		1.0	0.69897	0.69897
	 palate		[18]		1.0	0.60206	0.60206
	 flavor		[22]		1.0	0.60206	0.60206
	 finish		[23]		1.0	0.60206	0.60206
	 wine		[2, 4]		1.30103	0.25964	0.3378
	 fruit		[14]		1.0	0.30103	0.30103
	 a		[16, 19]		1.30103	0.1549	0.20153


Documento 10
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 catarratto		[0]		1.0	1.30103	1.30103
	 sicilys		[1]		1.0	1.30103	1.30103
	 widely		[2]		1.0	1.30103	1.30103
	 farmed		[3]		1.0	1.30103	1.30103
	 grape		[5]		1.0	1.30103	1.30103
	 varieties		[6]		1.0	1.30103	1.30103
	 expression		[7]		1.0	1.30103	1.30103
	 almond		[14]		1.0	1.30103	1.30103
	 blossom		[15]		1.0	1.30103	1.30103
	 mineral		[10]		1.0	1.0	1.0
	 back		[12]		1.0	1.0	1.0
	 white		[4]		1.0	0.82391	0.82391
	 show		[8]		1.0	0.82391	0.82391
	 citrus		[13]		1.0	0.82391	0.82391
	 touch		[16]		1.0	0.69897	0.69897
	 note		[11]		1.0	0.45593	0.45593
	 a		[9]		1.0	0.1549	0.1549


Documento 11
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 stiff		[1]		1.0	1.30103	1.30103
	 tannic		[2]		1.0	1.30103	1.30103
	 slowly		[4]		1.0	1.30103	1.30103
	 bring		[6]		1.0	1.30103	1.30103
	 brambly		[7]		1.0	1.30103	1.30103
	 play		[10]		1.0	1.30103	1.30103
	 earthy		[12]		1.0	1.30103	1.30103
	 herbs		[13]		1.0	1.30103	1.30103
	 bitterness		[16]		1.0	1.0	1.0
	 open		[5]		1.0	0.82391	0.82391
	 berry		[8]		1.0	0.69897	0.69897
	 touch		[15]		1.0	0.69897	0.69897
	 tannins		[17]		1.0	0.69897	0.69897
	 note		[11]		1.0	0.45593	0.45593
	 flavors		[9]		1.0	0.39794	0.39794
	 wine		[3]		1.0	0.25964	0.25964
	 a		[0, 14]		1.30103	0.1549	0.20153


Documento 12
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 festive		[1]		1.0	1.30103	1.30103
	 soft		[3]		1.0	0.82391	0.82391
	 acidity		[6]		1.0	0.82391	0.82391
	 red		[8]		1.0	0.82391	0.82391
	 ripe		[4]		1.0	0.69897	0.69897
	 berry		[9]		1.0	0.69897	0.69897
	 flavor		[10]		1.0	0.60206	0.60206
	 fruit		[5]		1.0	0.30103	0.30103
	 wine		[2]		1.0	0.25964	0.25964
	 a		[0, 7]		1.30103	0.1549	0.20153


Documento 13
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 brisk		[1]		1.0	1.30103	1.30103
	 mouthfeel		[2]		1.0	1.30103	1.30103
	 slightly		[3]		1.0	1.30103	1.30103
	 oaked		[4]		1.0	1.30103	1.30103
	 instant		[7]		1.0	1.30103	1.30103
	 likeability		[8]		1.0	1.30103	1.30103
	 rich		[11]		1.0	1.30103	1.30103
	 streak		[12]		1.0	1.30103	1.30103
	 sweetens		[14]		1.0	1.30103	1.30103
	 pear		[16]		1.0	1.30103	1.30103
	 asian		[21]		1.0	1.30103	1.30103
	 fare		[22]		1.0	1.30103	1.30103
	 ham		[23]		1.0	1.30103	1.30103
	 salad		[26]		1.0	1.30103	1.30103
	 sections		[28]		1.0	1.30103	1.30103
	 dry		[9]		1.0	1.0	1.0
	 tropical		[17]		1.0	1.0	1.0
	 green		[25]		1.0	1.0	1.0
	 grapefruit		[27]		1.0	1.0	1.0
	 clean		[0]		1.0	0.82391	0.82391
	 blanc		[6]		1.0	0.82391	0.82391
	 honey		[13]		1.0	0.82391	0.82391
	 citrus		[15]		1.0	0.82391	0.82391
	 sauvignon		[5]		1.0	0.69897	0.69897
	 pair		[20]		1.0	0.69897	0.69897
	 flavors		[19]		1.0	0.39794	0.39794
	 fruit		[18]		1.0	0.30103	0.30103
	 a		[10, 24]		1.30103	0.1549	0.20153


Documento 14
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 aroma		[2]		1.0	1.30103	1.30103
	 cola		[3]		1.0	1.30103	1.30103
	 tangy		[7]		1.0	1.30103	1.30103
	 racy		[8]		1.0	1.30103	1.30103
	 deliver		[9]		1.0	1.30103	1.30103
	 raspberry		[10]		1.0	1.30103	1.30103
	 plum		[11]		1.0	1.30103	1.30103
	 modest		[14]		1.0	1.30103	1.30103
	 herb		[4]		1.0	1.0	1.0
	 berry		[1]		1.0	0.69897	0.69897
	 palate		[6]		1.0	0.60206	0.60206
	 finish		[15]		1.0	0.60206	0.60206
	 note		[5]		1.0	0.45593	0.45593
	 flavors		[12]		1.0	0.39794	0.39794
	 a		[0, 13]		1.30103	0.1549	0.20153


Documento 15
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 start		[0]		1.0	1.30103	1.30103
	 block		[1]		1.0	1.30103	1.30103
	 oaky		[2]		1.0	1.30103	1.30103
	 dripping		[4]		1.0	1.30103	1.30103
	 caramel		[5]		1.0	1.30103	1.30103
	 texture		[8]		1.0	1.30103	1.30103
	 midpalate		[9]		1.0	1.30103	1.30103
	 finessed		[10]		1.0	1.30103	1.30103
	 graceful		[11]		1.0	1.30103	1.30103
	 latch		[14]		1.0	1.30103	1.30103
	 oak-driven		[15]		1.0	1.30103	1.30103
	 eccentric		[17]		1.0	1.30103	1.30103
	 50%		[19]		1.0	1.30103	1.30103
	 tannat		[20]		1.0	1.30103	1.30103
	 35%		[21]		1.0	1.30103	1.30103
	 petit		[22]		1.0	1.30103	1.30103
	 verdot		[23]		1.0	1.30103	1.30103
	 15%		[24]		1.0	1.30103	1.30103
	 pinotage		[25]		1.0	1.30103	1.30103
	 vanilla		[6]		1.0	1.0	1.0
	 drying		[12]		1.0	1.0	1.0
	 blend		[18]		1.0	0.82391	0.82391
	 tannins		[13]		1.0	0.69897	0.69897
	 finish		[16]		1.0	0.60206	0.60206
	 note		[7]		1.0	0.45593	0.45593
	 wine		[3]		1.0	0.25964	0.25964


Documento 16
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 spicy		[0]		1.0	1.30103	1.30103
	 fresh		[1]		1.0	1.30103	1.30103
	 fry		[4]		1.0	1.30103	1.30103
	 seafood		[5]		1.0	1.30103	1.30103
	 spaghetti		[6]		1.0	1.30103	1.30103
	 con		[7]		1.0	1.30103	1.30103
	 vongole		[8]		1.0	1.30103	1.30103
	 pretty		[10]		1.0	1.30103	1.30103
	 tones		[12]		1.0	1.30103	1.30103
	 nuance		[16]		1.0	1.30103	1.30103
	 offer		[9]		1.0	1.0	1.0
	 drying		[14]		1.0	1.0	1.0
	 mineral		[15]		1.0	1.0	1.0
	 clean		[2]		1.0	0.82391	0.82391
	 citrus		[11]		1.0	0.82391	0.82391
	 pair		[3]		1.0	0.69897	0.69897
	 a		[13]		1.0	0.1549	0.1549


Documento 17
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 sugar		[5]		1.0	1.30103	1.30103
	 brightened		[9]		1.0	1.30103	1.30103
	 crisp		[10]		1.0	1.30103	1.30103
	 orange		[6]		1.0	1.0	1.0
	 vanilla		[8]		1.0	1.0	1.0
	 white		[4]		1.0	0.82391	0.82391
	 honey		[7]		1.0	0.82391	0.82391
	 acidity		[11]		1.0	0.82391	0.82391
	 sweet		[1]		1.0	0.69897	0.69897
	 flavors		[3]		1.0	0.39794	0.39794
	 wine		[2]		1.0	0.25964	0.25964
	 a		[0]		1.0	0.1549	0.1549


Documento 18
	 Palabra 	 Indice 	 TF 	 IDF 	 TF-IDF
	 bottling		[0]		1.0	1.30103	1.30103
	 resemble		[1]		1.0	1.30103	1.30103
	 paradigm		[3]		1.0	1.30103	1.30103
	 passion		[9]		1.0	1.30103	1.30103
	 kiwi		[11]		1.0	1.30103	1.30103
	 sprinkling		[13]		1.0	1.30103	1.30103
	 graham		[14]		1.0	1.30103	1.30103
	 cracker		[15]		1.0	1.30103	1.30103
	 add		[16]		1.0	1.30103	1.30103
	 interest		[17]		1.0	1.30103	1.30103
	 hit		[19]		1.0	1.30103	1.30103
	 fleshy		[22]		1.0	1.30103	1.30103
	 fist		[23]		1.0	1.30103	1.30103
	 intense		[24]		1.0	1.30103	1.30103
	 grassy		[25]		1.0	1.30103	1.30103
	 plenty		[28]		1.0	1.30103	1.30103
	 punch		[29]		1.0	1.30103	1.30103
	 apricot-glazed		[31]		1.0	1.30103	1.30103
	 roasted		[32]		1.0	1.30103	1.30103
	 chicken		[33]		1.0	1.30103	1.30103
	 zealand		[2]		1.0	1.0	1.0
	 bear		[6]		1.0	1.0	1.0
	 grapefruit		[8]		1.0	1.0	1.0
	 gooseberry		[26]		1.0	1.0	1.0
	 blanc		[5]		1.0	0.82391	0.82391
